model,y,term,estimate,std.error,statistic,p.value,p.adj,sig,component,alpha.adj,ci.lower,ci.upper,AIC,min,BIC,pseudoR2,max
fractional_logit,Multiple_names,n_authors_log,-0.10036356003840428,0.40218548018922984,-0.24954545845658785,0.8029388820401865,1,,NA,0.01,-1.136324705371708,0.9355975852948994,24.197688914070294,1,27.000083677394606,0.0030795476498182146,1
fractional_logit,Multiple_names,n_countries_log,-0.3046132023834679,0.4755170615946714,-0.6405936337214306,0.5217867368695005,1,,NA,0.01,-1.5294639839764899,0.920237579209554,24.421198742006304,1,27.223593505330616,0.025102666244781826,1
fractional_logit,Multiple_names,n_samples_log,0.129694580453117,0.32931735235349885,0.39382856544376393,0.6937076130951334,1,,NA,0.01,-0.7185707059061637,0.9779598668123977,24.4227216162546,1,27.22511637957891,0.004928232048072995,1
fractional_logit,Multiple_names,year_publication,-0.4281207537421556,0.48743761200977614,-0.8783088198240416,0.3797761507455018,1,,NA,0.01,-1.6836768384088363,0.827435330924525,23.943525423270707,1,26.74592018659502,0.05263899115495123,0
fractional_logit,Overall_chronology,arch_index,0.260833448053367,0.3977106343304409,0.6558372483363156,0.5119288472992785,1,,NA,0.01,-0.7636012581880038,1.2852681542947377,24.782439808935337,1,27.58483457225965,0.02670261337659283,0
fractional_logit,Overall_chronology,n_authors_log,-0.1817156840277016,0.2313958904320379,-0.7853021230775591,0.4322764513301891,1,,NA,0.01,-0.7777519993233353,0.4143206312679321,26.2645443111564,1,29.06693907448071,0.012278126771319583,1
fractional_logit,Overall_chronology,n_countries_log,-0.1751455410757434,0.35627827595025935,-0.4915975878927734,0.6230038489661711,1,,NA,0.01,-1.0928575644863028,0.7425664823348159,26.177739831170243,1,28.980134594494555,0.011775688522116915,0
fractional_logit,Overall_chronology,n_samples_log,0.3580928130318235,0.342370995142552,1.045920414148183,0.2955977783618247,1,,NA,0.01,-0.52379642894156,1.239982055005207,24.83691462360051,1,27.639309386924822,0.050943385664110524,0
fractional_logit,Overall_chronology,year_publication,0.38429413172230625,0.3606477611454239,1.0655663867197762,0.2866197007464206,1,,NA,0.01,-0.5446729396953811,1.3132612031399935,25.318818246675608,1,28.12121300999992,0.05092663514427007,0
fractional_logit,References,arch_index,-0.11566887293907932,0.49243898384772655,-0.23488975636186998,0.8142943004100779,1,,NA,0.01,-1.3841076377438968,1.152769891865738,24.194968053903693,1,26.997362817228005,0.00355645615878787,0
