aDNAID,CitationID,Country,Resampled,Site description,Multiple names,Geolocation,Overall chronology,Sample chronology,References,Culture,IndividualID,Anthropological sex,Anthropological age,Grave,Body positioning,Body arrangement,Grave goods,14C,Images,notes,...22
I4175 / GEN99 Pit 9 / 1985 skeleton 1 / 1 (H),mathi2018a,Croatia,0,1,0,1,1,1,1,1,1,1,1.2,0,0,0,0,0,0,NA,NA
I4331 / VV1,mathi2018a,Croatia,0,1,0,1,1,1,1,0,0,0,1.3,0,0,0,0,1,0,NA,NA
I4332 / VV3,mathi2018a,Croatia,0,1,0,1,1,1,1,0,0,1,1.3,0,0,0,0,1,0,NA,NA
I5071 / Grave 2A,mathi2018a,Croatia,0,1,0,1,1,1,0,1,1,1,1.3,1,1.2,0,1,1,1.1,NA,NA
I5072 / Grave 2B,mathi2018a,Croatia,0,1,0,1,1,1,0,1,1,1,1.3,1,1.2,0,1,1,1.1,NA,NA
"I5077 / OHV-6.1 AN 6, G 1",mathi2018a,Croatia,0,1,0,1,1,1,0,1,1,1,1.2,0,0,0,0,1,0,NA,NA
"I5078 / OHV-7.1 AN 7, G 1.",mathi2018a,Croatia,0,1,0,1,1,1,0,1,1,1,1.2,0,1.2,0,0,1,0,NA,NA
I5079 / RAD1,mathi2018a,Croatia,0,1,0,1,1,1,1,1,0,1,1.2,0,1.2,0,0,1,0,NA,NA
Salamis31 (I9006),lazar2017a,Cyprus,0,1,0,0,1,1,1,1,0,0.5,1.1,1,0,0,1,1,1,NA,NA
"BILI_139, National Museum No. P7A 7564 (I6695)",naras2019a,Czech Republic,0,1,0,1,1,1,1,1,1,0,1.3,1,1,1,1.2,0,0,NA,NA
"BILI_4, National Museum No. P7A 7558 (I6677)",naras2019a,Czech Republic,0,1,0,1,1,1,1,1,1,1,1.3,1,1,1.1,1.2,0,0,NA,NA
"BILI_7958, National Museum No. P7A 7958 (I7949)",naras2019a,Czech Republic,0,1,0,1,1,1,1,1,1,0,1.3,1,0,0,0,0,0,NA,NA
I4884/feature 515,olald2018a,Czech Republic,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,NA,NA
"I4885/Grave 4, feature 528",olald2018a,Czech Republic,0,1,1,1,1,1,1,1,1,0.5,1.2,0,1.2,1.1,1.2,1,0,NA,NA
