CitationID,Name,Affiliation
allen2024a,"McKenzie, Catriona J.","Department of Archaeology, University of Exeter, Exeter, UK"
allen2024a,"Meldgaard, Morten","Department of Health and Nature, University of Greenland, Greenland"
allen2024a,"Menduiña, Roberto","ARGEA Consultores SL, C. de San Crispín, Madrid, Spain"
allen2024a,"Merz, Victor","Centre for Archaeological Research Toraighyrov University, Pavlodar, Kazakhstan"
allen2024a,"Metz, Laure","CNRS UMR 5608, Toulouse Jean Jaurès University, Maison de la Recherche, 5 Allées Antonio Machado, 31058 Toulouse, Cedex 9, France"
allen2024a,"Moiseyev, Vyacheslav","Peter the Great Museum of Anthropology and Ethnography (Kunstkamera), Russian Academy of Sciences, Saint Petersburg, Russian Federation"
allen2024a,"Molodin, Vyacheslav I.","Institute of Archaeology and Ethnography, Siberian Branch of the Russian Academy of Sciences, Novosibirsk, Russian Federation"
allen2024a,"Mortensen, Morten Fischer","The National Museum of Denmark, Ny Vestergade 10, Copenhagen, Denmark"
allen2024a,"Mortensen, Peder","Centre for the Study of Early Agricultural Societies, Department of Cross-Cultural and Regional Studies, University of Copenhagen, 2300 Copenhagen, Denmark"
allen2024a,"Sousa da Mota, Barbara","Department of Computational Biology, University of Lausanne, Switzerland"
allen2024a,"Mylnikova, Liudmila N.","Institute of Archaeology and Ethnography, Siberian Branch of the Russian Academy of Sciences, Novosibirsk, Russian Federation"
allen2024a,"Nesterova, Marina S.","Institute of Archaeology and Ethnography, Siberian Branch of the Russian Academy of Sciences, Novosibirsk, Russian Federation"
allen2024a,"Nielsen, Anne Birgitte","Department of Geology, Lund University, Lund, Sweden"
allen2024a,"Nielsen, Bjarne Henning","Vesthimmerlands Museum, Søndergade 44, Aars, Denmark"
allen2024a,"Nielsen, Poul-Otto","The National Museum of Denmark, Ny Vestergade 10, Copenhagen, Denmark"
allen2024a,"Nielsen, Rasmus","Department of Integrative Biology, University of California, Berkeley, USA"
allen2024a,"Nielsen, Rasmus","Lundbeck Foundation GeoGenetics Centre, Globe Institute, University of Copenhagen, Copenhagen, Denmark"
allen2024a,"Orlando, Ludovic","Centre d’Anthropobiologie et de Génomique de Toulouse, CNRS UMR 5288, Université Paul Sabatier, Toulouse, France"
allen2024a,"Outram, Alan","Department of Archaeology, University of Exeter, Exeter, UK"
allen2024a,"Paulsson, Bettina Schulz","Department of Historical Studies, University of Gothenburg, Gothenburg, Sweden"
allen2024a,"Pearson, Alice","Department of Genetics, University of Cambridge, Cambridge, UK"
allen2024a,"Pedersen, Kristoffer Buck","Museum Sydøstdanmark, Algade 97, 4760 Vordingborg, Denmark"
allen2024a,"Pedersen, Lisbeth","HistorieUdvikler, Gl. Roesnaesvej 27, DK-4400 Kalundborg, Denmark"
allen2024a,"Persson, Per Åke","Museum of Cultural History, University of Oslo, P.O. Box 6762. St. Olavs Plass NO-0130 Oslo, Norway"
allen2024a,"Petersen, Erik Brinch","The Saxo Institute, University of Copenhagen, Copenhagen, Denmark"
allen2024a,"Poshekhonova, Olga","IPND, Tyumen Scientific Centre, Siberian Branch of the Russian Academy of Sciences, Tyumen, Russian Federation"
allen2024a,"Potekhina, Inna","Institute of Archaeology, National Academy of Sciences of Ukraine, Kyiv, Ukraine"
allen2024a,"Potekhina, Inna","National University of Kyiv-Mohyla Academy, Kyiv, Ukraine"
allen2024a,"Pozdnyakov, Dmitri V.","Institute of Archaeology and Ethnography, Siberian Branch of the Russian Academy of Sciences, Novosibirsk, Russian Federation"
allen2024a,"Price, T. Douglas","Laboratory for Archaeological Chemistry, Department of Anthropology, University of Wisconsin-Madison, Madison, USA"
allen2024a,"Prieto Martinez, Pilar","Department of History, University of Santiago de Compostela, Spain"
allen2024a,"Przybyła, Marcin","Institute of Archaeology, Jagiellonian University, Ul. Gołębia 11, 31-007, Kraków, Poland"
allen2024a,"Racimo, Fernando","Lundbeck Foundation GeoGenetics Centre, Globe Institute, University of Copenhagen, Copenhagen, Denmark"
allen2024a,"Radina, Francesca","Soprintendenza Archeologia Belle Arti e Paesaggio per la Città Metropolitana di Bari, Via Pier l’Eremita, 25, 70122, Bari, Italy"
allen2024a,"Ramsøe, Abigail Daisy","Lundbeck Foundation GeoGenetics Centre, Globe Institute, University of Copenhagen, Copenhagen, Denmark"
allen2024a,"Rasmussen, Peter","The National Museum of Denmark, Ny Vestergade 10, Copenhagen, Denmark"
allen2024a,"Rasmussen, Simon","Novo Nordisk Foundation Centre for Protein Research, Faculty of Health and Medical Sciences, University of Copenhagen, Copenhagen N, Denmark"
allen2024a,"Refoyo-Martínez, Alba","Lundbeck Foundation GeoGenetics Centre, Globe Institute, University of Copenhagen, Copenhagen, Denmark"
allen2024a,"Renaud, Gabriel","Department of Health Technology, Section of Bioinformatics, Technical University of Denmark, Kongens Lyngby, Denmark"
allen2024a,"Rickards, Olga","Department of Biology, University of Rome “Tor Vergata”, Rome, Italy"
allen2024a,"Ríos, Patricia","Departamento de Prehistoria y Arqueología Department, Universidad Autónoma de Madrid, Madrid, Spain"
allen2024a,"Rolfo, Mario Federico","Department of History, Humanities and Society, University of Rome “Tor Vergata”, Rome, Italy"
allen2024a,"Rosengren, Anders","Institute of Biological Psychiatry, Mental Health Services, Copenhagen University Hospital, Roskilde, Denmark"
allen2024a,"Rosengren, Anders","Lundbeck Foundation GeoGenetics Centre, Globe Institute, University of Copenhagen, Copenhagen, Denmark"
allen2024a,"Ruter, Anthony","Lundbeck Foundation GeoGenetics Centre, Globe Institute, University of Copenhagen, Copenhagen, Denmark"
allen2024a,"Rykun, Marina","Cabinet of Anthropology, Tomsk State University, Tomsk, Russian Federation"
allen2024a,"Sablin, Mikhail","Zoological Institute of Russian Academy of Sciences, Universitetskaya nab. 1, 199034, St. Petersburg, Russian Federation"
allen2024a,"Salazar-García, Domingo C.","Departament de Prehistòria, Arqueologia i Història Antiga, Universitat de València, València, Spain"
allen2024a,"Salazar-García, Domingo C.","Department of Geological Sciences, University of Cape Town, Cape Town, South Africa"
allen2024a,"Sarti, Lucia","Department of history and cultural heritage, University of Siena, Siena, Italy"
allen2024a,"Saveliev, Nikolai A.","Scientific Research Center “Baikal region”, Irkutsk State University; 1, K. Marx st., Irkutsk, 664003, Russian Federation"
allen2024a,"Schjellerup Jørkov, Marie Louise","Laboratory of Biological Anthropology, Department of Forensic Medicine, University of Copenhagen, Copenhagen, Denmark"
allen2024a,"Schork, Andrew Joseph","Institute of Biological Psychiatry, Mental Health Services, Copenhagen University Hospital, Roskilde, Denmark"
allen2024a,"Schork, Andrew Joseph","Neurogenomics Division, The Translational Genomics Research Institute (TGEN), Phoenix, AZ, USA"
allen2024a,"Schroeder, Hannes","Section for Evolutionary Genomics, GLOBE Institute, University of Copenhagen, Copenhagen, Denmark"
allen2024a,"Scorrano, Gabriele","Lundbeck Foundation GeoGenetics Centre, Globe Institute, University of Copenhagen, Copenhagen, Denmark"
allen2024a,"Serikov, Yuri B.","Nizhny Tagil State Socio-Pedagogical Institute, Nizhny Tagil, Russia"
allen2024a,"Shevnina, Irina","Kostanay Regional University A. Baitursynov, Kostanay, Kazakhstan"
allen2024a,"Sikora, Martin","Lundbeck Foundation GeoGenetics Centre, Globe Institute, University of Copenhagen, Copenhagen, Denmark"
allen2024a,"Silva, Ana Maria","CIAS, Department of Life Science, University of Coimbra, Coimbra, Portugal"
allen2024a,"Silva, Ana Maria","UNIARQ, University of Lisbon, Lisbon, Portugal"
allen2024a,"Silvestrini, Mara","Soprintendenza per i Beni Archeologici delle Marche, Via Birarelli 18, 60100, Ancona, Italy"
allen2024a,"Sjögren, Karl-Göran","Department of Historical Studies, University of Gothenburg, Gothenburg, Sweden"
allen2024a,"Skochina, Svetlana","IPND, Tyumen Scientific Centre, Siberian Branch of the Russian Academy of Sciences, Tyumen, Russian Federation"
allen2024a,"Skorobogatov, Andrei","Terra Ltd., Letchik Zlobin St. 20, Voronezh, 394055, Russian Federation"
allen2024a,"Slimak, Ludovic","CNRS UMR 5608, Toulouse Jean Jaurès University, Maison de la Recherche, 5 Allées Antonio Machado, 31058 Toulouse, Cedex 9, France"
allen2024a,"Smolyaninov, Roman V.","Lipetsk Regional Scientific Public Organisation “Archaeological Research”, Lipetsk, Russian Federation"
allen2024a,"Smolyaninov, Roman V.","Institute of Archaeology and Ethnography, National Academy of Sciences, Yerevan, Armenia"
allen2024a,"Smrcka, Vaclav","Institute for History of Medicine, First Faculty of Medicine, Charles University, Prague, Czech Republic"
allen2024a,"Sørensen, Lasse","The National Museum of Denmark, Ny Vestergade 10, Copenhagen, Denmark"
allen2024a,"Sørensen, Søren Anker","Museum Nordsjælland, Frederiksgade 9, 3400 Hillerød"
allen2024a,"Stenderup, Jesper","Lundbeck Foundation GeoGenetics Centre, Globe Institute, University of Copenhagen, Copenhagen, Denmark"
allen2024a,"Stern, Aaron","Center for Computational Biology, University of California, Berkeley, USA"
allen2024a,"Sudmant, Peter H.","Department of Integrative Biology, University of California, Berkeley, USA"
allen2024a,"Sudmant, Peter H.","Center for Computational Biology, University of California, Berkeley, USA"
